sample_id,category,label,class
bagel/test/crack/007,bagel,1,B_depth_only+E_fixes_rgb
bagel/test/crack/008,bagel,1,C_both_correct
bagel/test/crack/009,bagel,1,A_rgb_only+F_fixes_depth
bagel/test/crack/010,bagel,1,C_both_correct
bagel/test/crack/011,bagel,1,A_rgb_only+F_fixes_depth
bagel/test/crack/012,bagel,1,D_both_wrong
bagel/test/crack/013,bagel,1,A_rgb_only+F_fixes_depth
bagel/test/crack/014,bagel,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
bagel/test/crack/015,bagel,1,A_rgb_only+F_fixes_depth
bagel/test/crack/016,bagel,1,D_both_wrong
bagel/test/crack/017,bagel,1,A_rgb_only+F_fixes_depth
bagel/test/crack/018,bagel,1,C_both_correct
bagel/test/crack/019,bagel,1,B_depth_only+E_fixes_rgb
bagel/test/crack/020,bagel,1,A_rgb_only+G_breaks
bagel/test/crack/021,bagel,1,A_rgb_only+F_fixes_depth
bagel/test/good/000,bagel,0,C_both_correct
bagel/test/good/001,bagel,0,D_both_wrong+E_fixes_rgb+F_fixes_depth
bagel/test/good/002,bagel,0,B_depth_only+E_fixes_rgb
bagel/test/good/003,bagel,0,A_rgb_only+F_fixes_depth
bagel/test/good/004,bagel,0,C_both_correct
bagel/test/good/005,bagel,0,C_both_correct
bagel/test/good/006,bagel,0,C_both_correct
bagel/test/good/007,bagel,0,C_both_correct
bagel/test/good/008,bagel,0,A_rgb_only+F_fixes_depth
bagel/test/good/009,bagel,0,C_both_correct
bagel/test/good/010,bagel,0,B_depth_only+E_fixes_rgb
bagel/test/good/011,bagel,0,C_both_correct
bagel/test/good/012,bagel,0,C_both_correct
bagel/test/good/013,bagel,0,C_both_correct
bagel/test/good/014,bagel,0,C_both_correct
bagel/test/good/015,bagel,0,C_both_correct
bagel/test/good/016,bagel,0,C_both_correct
bagel/test/good/017,bagel,0,B_depth_only+E_fixes_rgb
bagel/test/good/018,bagel,0,C_both_correct
bagel/test/good/019,bagel,0,C_both_correct
bagel/test/good/020,bagel,0,C_both_correct
bagel/test/good/021,bagel,0,B_depth_only+G_breaks
bagel/test/hole/000,bagel,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
bagel/test/hole/001,bagel,1,A_rgb_only+F_fixes_depth
bagel/test/hole/002,bagel,1,D_both_wrong
bagel/test/hole/003,bagel,1,D_both_wrong
bagel/test/hole/004,bagel,1,A_rgb_only+F_fixes_depth
bagel/test/hole/005,bagel,1,B_depth_only+G_breaks
bagel/test/hole/006,bagel,1,A_rgb_only+G_breaks
bagel/test/hole/007,bagel,1,B_depth_only+E_fixes_rgb
bagel/test/hole/008,bagel,1,C_both_correct
bagel/test/hole/009,bagel,1,D_both_wrong
bagel/test/hole/010,bagel,1,D_both_wrong
bagel/test/hole/011,bagel,1,A_rgb_only+F_fixes_depth
bagel/test/hole/012,bagel,1,A_rgb_only+F_fixes_depth
bagel/test/hole/013,bagel,1,C_both_correct+G_breaks
bagel/test/hole/014,bagel,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
bagel/test/hole/015,bagel,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
bagel/test/hole/016,bagel,1,D_both_wrong
bagel/test/hole/017,bagel,1,D_both_wrong
bagel/test/hole/018,bagel,1,D_both_wrong
bagel/test/hole/019,bagel,1,A_rgb_only+F_fixes_depth
bagel/test/hole/020,bagel,1,D_both_wrong
cable_gland/test/bent/000,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/bent/001,cable_gland,1,D_both_wrong
cable_gland/test/bent/002,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/bent/003,cable_gland,1,D_both_wrong
cable_gland/test/bent/004,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/bent/005,cable_gland,1,D_both_wrong
cable_gland/test/bent/006,cable_gland,1,B_depth_only+E_fixes_rgb
cable_gland/test/bent/007,cable_gland,1,B_depth_only+E_fixes_rgb
cable_gland/test/bent/008,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/bent/009,cable_gland,1,D_both_wrong
cable_gland/test/bent/010,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/bent/011,cable_gland,1,D_both_wrong
cable_gland/test/bent/012,cable_gland,1,D_both_wrong
cable_gland/test/bent/013,cable_gland,1,B_depth_only+E_fixes_rgb
cable_gland/test/bent/014,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/bent/015,cable_gland,1,A_rgb_only+F_fixes_depth
cable_gland/test/bent/016,cable_gland,1,B_depth_only+E_fixes_rgb
cable_gland/test/bent/017,cable_gland,1,A_rgb_only+F_fixes_depth
cable_gland/test/bent/018,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/bent/019,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/bent/020,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/cut/000,cable_gland,1,D_both_wrong
cable_gland/test/cut/001,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/cut/002,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/cut/003,cable_gland,1,A_rgb_only+F_fixes_depth
cable_gland/test/cut/004,cable_gland,1,A_rgb_only+F_fixes_depth
cable_gland/test/cut/005,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/cut/006,cable_gland,1,A_rgb_only+F_fixes_depth
cable_gland/test/cut/007,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/cut/008,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/cut/009,cable_gland,1,A_rgb_only+F_fixes_depth
cable_gland/test/cut/010,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/cut/011,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/cut/012,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/cut/013,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/cut/014,cable_gland,1,A_rgb_only+F_fixes_depth
cable_gland/test/cut/015,cable_gland,1,B_depth_only+E_fixes_rgb
cable_gland/test/cut/016,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/cut/017,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/cut/018,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/cut/019,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/cut/020,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/cut/021,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/good/000,cable_gland,0,C_both_correct
cable_gland/test/good/001,cable_gland,0,C_both_correct
cable_gland/test/good/002,cable_gland,0,A_rgb_only+F_fixes_depth
cable_gland/test/good/003,cable_gland,0,C_both_correct
cable_gland/test/good/004,cable_gland,0,A_rgb_only+F_fixes_depth
cable_gland/test/good/005,cable_gland,0,C_both_correct+G_breaks
cable_gland/test/good/006,cable_gland,0,C_both_correct+G_breaks
cable_gland/test/good/007,cable_gland,0,A_rgb_only+G_breaks
cable_gland/test/good/008,cable_gland,0,C_both_correct
cable_gland/test/good/009,cable_gland,0,D_both_wrong
cable_gland/test/good/010,cable_gland,0,C_both_correct
cable_gland/test/good/011,cable_gland,0,A_rgb_only+G_breaks
cable_gland/test/good/012,cable_gland,0,A_rgb_only+G_breaks
cable_gland/test/good/013,cable_gland,0,C_both_correct
cable_gland/test/good/014,cable_gland,0,C_both_correct+G_breaks
cable_gland/test/good/015,cable_gland,0,C_both_correct
cable_gland/test/good/016,cable_gland,0,A_rgb_only+G_breaks
cable_gland/test/good/017,cable_gland,0,C_both_correct
cable_gland/test/good/018,cable_gland,0,C_both_correct
cable_gland/test/good/019,cable_gland,0,C_both_correct+G_breaks
cable_gland/test/good/020,cable_gland,0,C_both_correct+G_breaks
cable_gland/test/hole/000,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/hole/001,cable_gland,1,D_both_wrong
cable_gland/test/hole/002,cable_gland,1,A_rgb_only+F_fixes_depth
cable_gland/test/hole/003,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/hole/004,cable_gland,1,D_both_wrong
cable_gland/test/hole/005,cable_gland,1,D_both_wrong
cable_gland/test/hole/006,cable_gland,1,A_rgb_only+F_fixes_depth
cable_gland/test/hole/007,cable_gland,1,D_both_wrong
cable_gland/test/hole/008,cable_gland,1,A_rgb_only+F_fixes_depth
cable_gland/test/hole/009,cable_gland,1,B_depth_only+E_fixes_rgb
cable_gland/test/hole/010,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/hole/011,cable_gland,1,A_rgb_only+F_fixes_depth
cable_gland/test/hole/012,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/hole/013,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/hole/014,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/hole/015,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/hole/016,cable_gland,1,B_depth_only+E_fixes_rgb
cable_gland/test/hole/017,cable_gland,1,A_rgb_only+F_fixes_depth
cable_gland/test/hole/018,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/hole/019,cable_gland,1,A_rgb_only+F_fixes_depth
cable_gland/test/hole/020,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/hole/021,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/thread/000,cable_gland,1,A_rgb_only+F_fixes_depth
cable_gland/test/thread/001,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/thread/002,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/thread/003,cable_gland,1,D_both_wrong
cable_gland/test/thread/004,cable_gland,1,D_both_wrong
cable_gland/test/thread/005,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/thread/006,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/thread/007,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/thread/008,cable_gland,1,A_rgb_only+F_fixes_depth
cable_gland/test/thread/009,cable_gland,1,A_rgb_only+F_fixes_depth
cable_gland/test/thread/010,cable_gland,1,C_both_correct
cable_gland/test/thread/011,cable_gland,1,A_rgb_only+F_fixes_depth
cable_gland/test/thread/012,cable_gland,1,A_rgb_only+F_fixes_depth
cable_gland/test/thread/013,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/thread/014,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/thread/015,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/thread/016,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/thread/017,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/thread/018,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/thread/019,cable_gland,1,A_rgb_only+F_fixes_depth
cable_gland/test/thread/020,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cable_gland/test/thread/021,cable_gland,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
carrot/test/combined/000,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/combined/001,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/combined/002,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/combined/003,carrot,1,A_rgb_only+G_breaks
carrot/test/combined/004,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/combined/005,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/combined/006,carrot,1,D_both_wrong
carrot/test/combined/007,carrot,1,D_both_wrong
carrot/test/combined/008,carrot,1,D_both_wrong
carrot/test/combined/009,carrot,1,A_rgb_only+G_breaks
carrot/test/combined/010,carrot,1,D_both_wrong
carrot/test/combined/011,carrot,1,A_rgb_only+G_breaks
carrot/test/combined/012,carrot,1,D_both_wrong
carrot/test/combined/013,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/combined/014,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/combined/015,carrot,1,D_both_wrong
carrot/test/combined/016,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/combined/017,carrot,1,D_both_wrong
carrot/test/combined/018,carrot,1,D_both_wrong
carrot/test/combined/019,carrot,1,A_rgb_only+G_breaks
carrot/test/combined/020,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/combined/021,carrot,1,D_both_wrong
carrot/test/combined/022,carrot,1,D_both_wrong
carrot/test/combined/023,carrot,1,D_both_wrong
carrot/test/combined/024,carrot,1,D_both_wrong
carrot/test/combined/025,carrot,1,D_both_wrong
carrot/test/combined/026,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/contamination/000,carrot,1,D_both_wrong
carrot/test/contamination/001,carrot,1,D_both_wrong
carrot/test/contamination/002,carrot,1,D_both_wrong
carrot/test/contamination/003,carrot,1,D_both_wrong
carrot/test/contamination/004,carrot,1,A_rgb_only+G_breaks
carrot/test/contamination/005,carrot,1,A_rgb_only+G_breaks
carrot/test/contamination/006,carrot,1,D_both_wrong
carrot/test/contamination/007,carrot,1,D_both_wrong
carrot/test/contamination/008,carrot,1,A_rgb_only+G_breaks
carrot/test/contamination/009,carrot,1,D_both_wrong
carrot/test/contamination/010,carrot,1,D_both_wrong
carrot/test/contamination/011,carrot,1,D_both_wrong
carrot/test/contamination/012,carrot,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
carrot/test/contamination/013,carrot,1,D_both_wrong
carrot/test/contamination/014,carrot,1,D_both_wrong
carrot/test/contamination/015,carrot,1,D_both_wrong
carrot/test/contamination/016,carrot,1,A_rgb_only+G_breaks
carrot/test/contamination/017,carrot,1,D_both_wrong
carrot/test/contamination/018,carrot,1,A_rgb_only+G_breaks
carrot/test/contamination/019,carrot,1,D_both_wrong
carrot/test/contamination/020,carrot,1,D_both_wrong
carrot/test/contamination/021,carrot,1,D_both_wrong
carrot/test/contamination/022,carrot,1,A_rgb_only+G_breaks
carrot/test/contamination/023,carrot,1,A_rgb_only+G_breaks
carrot/test/contamination/024,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/contamination/025,carrot,1,D_both_wrong
carrot/test/contamination/026,carrot,1,D_both_wrong
carrot/test/crack/000,carrot,1,D_both_wrong
carrot/test/crack/001,carrot,1,A_rgb_only+G_breaks
carrot/test/crack/002,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/crack/003,carrot,1,D_both_wrong
carrot/test/crack/004,carrot,1,A_rgb_only+G_breaks
carrot/test/crack/005,carrot,1,D_both_wrong
carrot/test/crack/006,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/crack/007,carrot,1,D_both_wrong
carrot/test/crack/008,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/crack/009,carrot,1,A_rgb_only+G_breaks
carrot/test/crack/010,carrot,1,A_rgb_only+G_breaks
carrot/test/crack/011,carrot,1,D_both_wrong
carrot/test/crack/012,carrot,1,D_both_wrong
carrot/test/crack/013,carrot,1,D_both_wrong
carrot/test/crack/014,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/crack/015,carrot,1,D_both_wrong
carrot/test/crack/016,carrot,1,D_both_wrong
carrot/test/crack/017,carrot,1,D_both_wrong
carrot/test/crack/018,carrot,1,D_both_wrong
carrot/test/crack/019,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/crack/020,carrot,1,D_both_wrong
carrot/test/crack/021,carrot,1,D_both_wrong
carrot/test/crack/022,carrot,1,D_both_wrong
carrot/test/crack/023,carrot,1,A_rgb_only+G_breaks
carrot/test/crack/024,carrot,1,D_both_wrong
carrot/test/crack/025,carrot,1,D_both_wrong
carrot/test/cut/000,carrot,1,D_both_wrong
carrot/test/cut/001,carrot,1,D_both_wrong
carrot/test/cut/002,carrot,1,D_both_wrong
carrot/test/cut/003,carrot,1,D_both_wrong
carrot/test/cut/004,carrot,1,D_both_wrong
carrot/test/cut/005,carrot,1,D_both_wrong
carrot/test/cut/006,carrot,1,D_both_wrong
carrot/test/cut/007,carrot,1,D_both_wrong
carrot/test/cut/008,carrot,1,D_both_wrong
carrot/test/cut/009,carrot,1,D_both_wrong
carrot/test/cut/010,carrot,1,D_both_wrong
carrot/test/cut/011,carrot,1,D_both_wrong
carrot/test/cut/012,carrot,1,D_both_wrong
carrot/test/cut/013,carrot,1,D_both_wrong
carrot/test/cut/014,carrot,1,D_both_wrong
carrot/test/cut/015,carrot,1,D_both_wrong
carrot/test/cut/016,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/cut/017,carrot,1,D_both_wrong
carrot/test/cut/018,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/cut/019,carrot,1,D_both_wrong
carrot/test/cut/020,carrot,1,D_both_wrong
carrot/test/cut/021,carrot,1,D_both_wrong
carrot/test/cut/022,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/cut/023,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/cut/024,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/cut/025,carrot,1,D_both_wrong
carrot/test/good/000,carrot,0,C_both_correct
carrot/test/good/001,carrot,0,C_both_correct
carrot/test/good/002,carrot,0,C_both_correct
carrot/test/good/003,carrot,0,C_both_correct
carrot/test/good/004,carrot,0,C_both_correct
carrot/test/good/005,carrot,0,C_both_correct
carrot/test/good/006,carrot,0,C_both_correct
carrot/test/good/007,carrot,0,C_both_correct
carrot/test/good/008,carrot,0,C_both_correct
carrot/test/good/009,carrot,0,C_both_correct
carrot/test/good/010,carrot,0,C_both_correct
carrot/test/good/011,carrot,0,C_both_correct
carrot/test/good/012,carrot,0,C_both_correct
carrot/test/good/013,carrot,0,C_both_correct
carrot/test/good/014,carrot,0,A_rgb_only+G_breaks
carrot/test/good/015,carrot,0,C_both_correct
carrot/test/good/016,carrot,0,C_both_correct
carrot/test/good/017,carrot,0,C_both_correct
carrot/test/good/018,carrot,0,C_both_correct
carrot/test/good/019,carrot,0,C_both_correct
carrot/test/good/020,carrot,0,C_both_correct
carrot/test/good/021,carrot,0,C_both_correct+G_breaks
carrot/test/good/022,carrot,0,C_both_correct
carrot/test/good/023,carrot,0,C_both_correct
carrot/test/good/024,carrot,0,C_both_correct
carrot/test/good/025,carrot,0,C_both_correct
carrot/test/good/026,carrot,0,C_both_correct
carrot/test/hole/000,carrot,1,D_both_wrong
carrot/test/hole/001,carrot,1,D_both_wrong
carrot/test/hole/002,carrot,1,D_both_wrong
carrot/test/hole/003,carrot,1,D_both_wrong
carrot/test/hole/004,carrot,1,D_both_wrong
carrot/test/hole/005,carrot,1,D_both_wrong
carrot/test/hole/006,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/hole/007,carrot,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
carrot/test/hole/008,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/hole/009,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/hole/010,carrot,1,A_rgb_only+G_breaks
carrot/test/hole/011,carrot,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
carrot/test/hole/012,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/hole/013,carrot,1,D_both_wrong
carrot/test/hole/014,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/hole/015,carrot,1,A_rgb_only+G_breaks
carrot/test/hole/016,carrot,1,A_rgb_only+G_breaks
carrot/test/hole/017,carrot,1,A_rgb_only+G_breaks
carrot/test/hole/018,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/hole/019,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/hole/020,carrot,1,D_both_wrong
carrot/test/hole/021,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/hole/022,carrot,1,A_rgb_only+G_breaks
carrot/test/hole/023,carrot,1,A_rgb_only+F_fixes_depth
carrot/test/hole/024,carrot,1,D_both_wrong
carrot/test/hole/025,carrot,1,D_both_wrong
cookie/test/combined/000,cookie,1,A_rgb_only+F_fixes_depth
cookie/test/combined/001,cookie,1,D_both_wrong
cookie/test/combined/002,cookie,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cookie/test/combined/003,cookie,1,A_rgb_only+F_fixes_depth
cookie/test/combined/004,cookie,1,A_rgb_only+F_fixes_depth
cookie/test/combined/005,cookie,1,A_rgb_only+F_fixes_depth
cookie/test/combined/006,cookie,1,C_both_correct
cookie/test/combined/007,cookie,1,A_rgb_only+F_fixes_depth
cookie/test/combined/008,cookie,1,A_rgb_only+G_breaks
cookie/test/combined/009,cookie,1,A_rgb_only+G_breaks
cookie/test/combined/010,cookie,1,D_both_wrong
cookie/test/combined/011,cookie,1,A_rgb_only+F_fixes_depth
cookie/test/combined/012,cookie,1,D_both_wrong
cookie/test/combined/013,cookie,1,A_rgb_only+F_fixes_depth
cookie/test/combined/014,cookie,1,B_depth_only+G_breaks
cookie/test/combined/015,cookie,1,D_both_wrong
cookie/test/combined/016,cookie,1,D_both_wrong
cookie/test/combined/017,cookie,1,A_rgb_only+F_fixes_depth
cookie/test/combined/018,cookie,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
cookie/test/combined/019,cookie,1,D_both_wrong
cookie/test/combined/020,cookie,1,D_both_wrong
cookie/test/combined/021,cookie,1,D_both_wrong
cookie/test/combined/022,cookie,1,A_rgb_only+F_fixes_depth
cookie/test/combined/023,cookie,1,A_rgb_only+F_fixes_depth
cookie/test/combined/024,cookie,1,D_both_wrong
cookie/test/contamination/000,cookie,1,A_rgb_only+F_fixes_depth
cookie/test/contamination/001,cookie,1,D_both_wrong
cookie/test/contamination/002,cookie,1,D_both_wrong
cookie/test/contamination/003,cookie,1,D_both_wrong
cookie/test/contamination/004,cookie,1,D_both_wrong
cookie/test/contamination/005,cookie,1,D_both_wrong
cookie/test/contamination/006,cookie,1,D_both_wrong
cookie/test/contamination/007,cookie,1,B_depth_only+G_breaks
cookie/test/contamination/008,cookie,1,D_both_wrong
cookie/test/contamination/009,cookie,1,D_both_wrong
cookie/test/contamination/010,cookie,1,D_both_wrong
cookie/test/contamination/011,cookie,1,D_both_wrong
cookie/test/contamination/012,cookie,1,D_both_wrong
cookie/test/contamination/013,cookie,1,D_both_wrong
cookie/test/contamination/014,cookie,1,B_depth_only+G_breaks
cookie/test/contamination/015,cookie,1,D_both_wrong
cookie/test/contamination/016,cookie,1,D_both_wrong
cookie/test/contamination/017,cookie,1,B_depth_only+G_breaks
cookie/test/contamination/018,cookie,1,D_both_wrong
cookie/test/contamination/019,cookie,1,D_both_wrong
cookie/test/contamination/020,cookie,1,D_both_wrong
cookie/test/contamination/021,cookie,1,A_rgb_only+F_fixes_depth
cookie/test/contamination/022,cookie,1,D_both_wrong
cookie/test/contamination/023,cookie,1,B_depth_only+G_breaks
cookie/test/contamination/024,cookie,1,D_both_wrong
cookie/test/crack/000,cookie,1,D_both_wrong
cookie/test/crack/001,cookie,1,C_both_correct
cookie/test/crack/002,cookie,1,A_rgb_only+F_fixes_depth
cookie/test/crack/003,cookie,1,D_both_wrong
cookie/test/crack/004,cookie,1,D_both_wrong
cookie/test/crack/005,cookie,1,D_both_wrong
cookie/test/crack/006,cookie,1,A_rgb_only+F_fixes_depth
cookie/test/crack/007,cookie,1,A_rgb_only+F_fixes_depth
cookie/test/crack/008,cookie,1,C_both_correct
cookie/test/crack/009,cookie,1,D_both_wrong
cookie/test/crack/010,cookie,1,D_both_wrong
cookie/test/crack/011,cookie,1,A_rgb_only+G_breaks
cookie/test/crack/012,cookie,1,D_both_wrong
cookie/test/crack/013,cookie,1,D_both_wrong
cookie/test/crack/014,cookie,1,D_both_wrong
cookie/test/crack/015,cookie,1,D_both_wrong
cookie/test/crack/016,cookie,1,C_both_correct
cookie/test/crack/017,cookie,1,D_both_wrong
