category,method,aggregation,I_AUROC,P_AUROC,AUPRO
foam,H3A_Fusion,mean_top_0.1%,0.789875,0.968717495196432,0.880989869096336
foam,H3A_Fusion,mean_top_0.5%,0.793875,0.968717495196432,0.880989869096336
foam,H3A_Fusion,mean_top_1.0%,0.791875,0.968717495196432,0.880989869096336
foam,H3A_Fusion,mean_top_5.0%,0.764875,0.968717495196432,0.880989869096336
foam,H3A_Fusion,reweighted_max,0.786875,0.968717495196432,0.880989869096336
foam,H3A_Fusion,robust_tail_top1%,0.792875,0.968717495196432,0.880989869096336
peach,H3A_Fusion,max_patch,0.9560783744557327,0.9946118799860894,0.9732639075918946
peach,H3A_Fusion,mean_top_0.1%,0.9670783744557327,0.9946118799860894,0.9732639075918946
peach,H3A_Fusion,mean_top_0.5%,0.9710783744557328,0.9946118799860894,0.9732639075918946
peach,H3A_Fusion,mean_top_1.0%,0.9690783744557327,0.9946118799860894,0.9732639075918946
peach,H3A_Fusion,mean_top_5.0%,0.9420783744557327,0.9946118799860894,0.9732639075918946
peach,H3A_Fusion,reweighted_max,0.9640783744557327,0.9946118799860894,0.9732639075918946
peach,H3A_Fusion,robust_tail_top1%,0.9700783744557328,0.9946118799860894,0.9732639075918946
potato,H3A_Fusion,max_patch,0.6455731225296443,0.991331145711054,0.957810775836404
potato,H3A_Fusion,mean_top_0.1%,0.6635731225296443,0.991331145711054,0.957810775836404
potato,H3A_Fusion,mean_top_0.5%,0.6675731225296443,0.991331145711054,0.957810775836404
potato,H3A_Fusion,mean_top_1.0%,0.6655731225296443,0.991331145711054,0.957810775836404
potato,H3A_Fusion,mean_top_5.0%,0.6385731225296443,0.991331145711054,0.957810775836404
potato,H3A_Fusion,reweighted_max,0.6605731225296443,0.991331145711054,0.957810775836404
potato,H3A_Fusion,robust_tail_top1%,0.6665731225296443,0.991331145711054,0.957810775836404
rope,H3A_Fusion,max_patch,0.983394927536232,0.9955947251630166,0.9676532688280056
rope,H3A_Fusion,mean_top_0.1%,0.991394927536232,0.9955947251630166,0.9676532688280056
rope,H3A_Fusion,mean_top_0.5%,0.991394927536232,0.9955947251630166,0.9676532688280056
rope,H3A_Fusion,mean_top_1.0%,0.991394927536232,0.9955947251630166,0.9676532688280056
rope,H3A_Fusion,mean_top_5.0%,0.969394927536232,0.9955947251630166,0.9676532688280056
rope,H3A_Fusion,reweighted_max,0.991394927536232,0.9955947251630166,0.9676532688280056
rope,H3A_Fusion,robust_tail_top1%,0.991394927536232,0.9955947251630166,0.9676532688280056
tire,H3A_Fusion,max_patch,0.8467126436781609,0.9929422815671964,0.96349429751722
tire,H3A_Fusion,mean_top_0.1%,0.8577126436781609,0.9929422815671964,0.96349429751722
tire,H3A_Fusion,mean_top_0.5%,0.8617126436781609,0.9929422815671964,0.96349429751722
tire,H3A_Fusion,mean_top_1.0%,0.8597126436781609,0.9929422815671964,0.96349429751722
tire,H3A_Fusion,mean_top_5.0%,0.8327126436781609,0.9929422815671964,0.96349429751722
tire,H3A_Fusion,reweighted_max,0.8547126436781609,0.9929422815671964,0.96349429751722
tire,H3A_Fusion,robust_tail_top1%,0.8607126436781609,0.9929422815671964,0.96349429751722
MEAN,H3A_Fusion,max_patch,0.8812494477978492,0.9896916915096845,0.954047755311743
MEAN,H3A_Fusion,mean_top_0.1%,0.8926494477978493,0.9896916915096845,0.954047755311743
MEAN,H3A_Fusion,mean_top_0.5%,0.8962494477978492,0.9896916915096845,0.954047755311743
MEAN,H3A_Fusion,mean_top_1.0%,0.8944494477978493,0.9896916915096845,0.954047755311743
MEAN,H3A_Fusion,mean_top_5.0%,0.8679494477978492,0.9896916915096845,0.954047755311743
MEAN,H3A_Fusion,reweighted_max,0.8899494477978491,0.9896916915096845,0.954047755311743
MEAN,H3A_Fusion,robust_tail_top1%,0.8953494477978492,0.9896916915096845,0.954047755311743
